protein,control_1,control_2,control_3,obesity_1,obesity_2,obesity_3
A2A5R2,22662000,28719000,26607000,28305000,40479000,88101000
A2ADY9,368990000,467720000,555990000,521720000,306870000,481640000
A2AGT5,NA,NA,6398800,12334000,17970000,24901000
A2AKK5,NA,164380000,NA,205520000,118530000,119670000
A2AKQ0,NA,NA,NA,NA,11522000,NA
A2AS89,449110000,762180000,700970000,774710000,771740000,511060000
A2ASQ1,115330000,78612000,72789000,562550000,610000000,561400000
A2ASS6,NA,NA,NA,62166000,127880000,NA
A2AT37,15121000,NA,NA,14310000,23056000,17987000
A2ATU0,NA,10415000,29088000,9404100,NA,NA
A2AWP8,NA,NA,NA,29172000,30365000,NA
A2AX52,94277000,75475000,24481000,13332000,55644000,NA
A2BIM8;P02762;P04938;P11591,974320000,1245600000,1290500000,94393000,113810000,103530000
A3KMP2,256500000,148140000,259810000,104850000,223900000,233840000
A6H584,7096899999.999999,8126799999.999999,7746099999.999999,2205900000,2038800000,1671399999.9999998
A6H611,23744000,18670000,NA,25053000,26867000,NA
A6H6E2,43774000,76139000,56474000,318350000,306860000,175280000
A6X935;CON__Q3T052,105730000,369870000,157320000,413410000,370530000,277380000
A8C756,NA,74055000,86427000,NA,NA,NA
B2RR83,NA,NA,NA,62329000,NA,NA
B2RY04,NA,NA,NA,197060000,NA,NA
B2RY56,247160000,NA,71099000,152110000,196930000,160850000
B5X0G2,5228200000,4811800000,2976599999.9999995,337000000,551030000,437830000
B7ZMP1,NA,10598000,NA,NA,NA,NA
B7ZNG0,NA,NA,NA,173290000,NA,NA
B9EJ86,25641000,39292000,53532000,32593000,28603000,NA
D3YXK2,NA,193300000,128160000,NA,NA,NA
E9PV24;CON__P02672,20546000000,19823000000,18870000000,18207000000,19095000000,20570000000
E9PVA8,446430000,271950000,361370000,118590000,110650000,154480000
E9PZJ8,371290000,394570000,495310000,185960000,124440000,224320000
E9Q0S6,157620000,185950000,181240000,367390000,604690000,251320000
E9Q3L2,NA,25235000,22747000,54688000,88699000,20353000
E9Q414,206820000,95846000,128660000,174470000,301490000,150680000
E9Q4Z2,NA,30901000,26224000,20056000,45546000,48111000
E9Q555,25578000,NA,38998000,15564000,14179000,NA
E9Q557,4541600000,5557700000,7116199999.999999,3373099999.9999995,2707000000,3457399999.9999995
E9Q5C9,228900000,189980000,196800000,143230000,139090000,121590000
E9Q5K4,1035900000,1061300000,862260000,236340000,86109000,52296000
E9Q7G0,NA,20685000,18045000,139840000,115850000,84215000
E9QAT4,10748000,NA,92141000,249610000,182300000,229910000
F6ZDS4,192290000,552480000,530980000,169490000,174970000,269870000
F8VPU2,20597000,NA,33285000,NA,11385000,11489000
G3X982;Q3TYQ9,3007999999.9999995,3155999999.9999995,3239799999.9999995,1238300000,1284300000,1179800000
O08547,338230000,270800000,404280000,208890000,261640000,368300000
O08553;P97427;Q62188,97520000,39936000,60945000,120830000,183690000,NA
O08573,5490700000,5822900000,8879200000,4491400000,3027699999.9999995,4356700000
O08582,NA,NA,NA,61416000,73156000,NA
O08583,564860000,460130000,542450000,60297000,61182000,248470000
O08585,NA,NA,21507000,NA,21421000,132320000
O08600,NA,76461000,144820000,92326000,77277000,143190000
O08601,4352600000,5394700000,4761900000,3359199999.9999995,3349499999.9999995,4150299999.999999
O08609,31232000,78517000,89650000,42773000,55667000,28145000
O08638,NA,57407000,NA,NA,41363000,NA
O08692,NA,NA,NA,NA,36220000,NA
O08705,461450000,410750000,435990000,306150000,282970000,274390000
O08709,2144200000,4043199999.999999,3638099999.999999,1899100000,2701900000,2814600000
O08715,NA,40981000,NA,59044000,NA,NA
O08717,25188000,NA,NA,32984000,47277000,32494000
O08749,2241400000,1680399999.9999998,2821000000,1762099999.9999998,2094000000,2158500000
O08756,2212300000,1529999999.9999998,1240900000,2239400000,2050800000,1993000000
O08795,471850000,373980000,274340000,105130000,456760000,153780000
O08807,2577200000,2761900000,2885200000,2814200000,2558700000,2931599999.9999995
O08810,481790000,592000000,526540000,130470000,90355000,85292000
O08914,52602000,41656000,32421000,80036000,75997000,98233000
O08915,NA,NA,NA,100500000,91502000,57521000
O08966,NA,86378000,152690000,NA,NA,NA
O08997,80927000,187620000,108730000,NA,145320000,300580000
O09012,59977000,NA,22778000,96454000,191930000,204560000
O09061,236320000,324050000,224290000,417510000,248730000,705920000
O09106,28723000,53515000,48538000,NA,NA,NA
O09111,281250000,334240000,293000000,347590000,379200000,350090000
O09131,NA,57346000,66428000,NA,NA,NA
O09167,366300000,NA,NA,30527000,86152000,NA
O09172,NA,52907000,360300000,359120000,313490000,365920000
O09173,456920000,396250000,394120000,155840000,350370000,133000000
O09174,985760000,1107800000,1009300000,746400000,871570000,992190000
O35114,57037000,NA,NA,NA,31812000,NA
O35129,4026799999.999999,4892200000,4283499999.999999,1868100000,2232200000,2175100000
O35206,19059000,63297000,73271000,92995000,84864000,199950000
O35215,465800000,526360000,285180000,512800000,140520000,893180000
O35226,NA,NA,50713000,14306000,10949000,44800000
O35286,133900000,123360000,97261000,54900000,NA,NA
O35295,NA,NA,NA,97491000,NA,NA
O35343,NA,NA,79667000,41617000,37821000,41933000
O35344,57812000,66679000,57195000,48439000,NA,32664000
